"Provider Approval Number","Service Approval Number","Legal Name","Trading Name",Address,Suburb,State,Postcode,"Date Approval Granted",Conditions
PR-00002502,,"Young Mens Christian Association Of Ballarat Inc","BALLARAT AND DISTRICT YMCA","25-39 Barkly Street",BALLARAT,VIC,3350,29/12/2011,
PR-00002504,,"Ballarat Child Minding Centre Pty Ltd",,"257 Victoria Street",BALLARAT,VIC,3350,29/12/2011,
PR-00002506,,"Kiddy Palace Learning Centre Pty Ltd",,"134-136 McDonalds Road",EPPING,VIC,3076,29/12/2011,
PR-00002512,,"East Gippsland Shire Council",,"PO Box 1618",BAIRNSDALE,VIC,3875,29/12/2011,
PR-00002517,,"Strathmerton Primary School Council","Strathmerton Primary School Council","Findlay Street",STRATHMERTON,VIC,3641,29/12/2011,
PR-00002518,,"Smigal PTY LTD",,"7 Grey Street",VERMONT,VIC,3133,29/12/2011,
PR-00002525,,"Hodan Youssouf",,"25 BRONZEWING ST","WILLIAMS LANDING",VIC,3027,29/12/2011,
PR-00002527,,"Walker Street Community Kindergarten",,"89 Walker Street","CLIFTON HILL",VIC,3068,29/12/2011,
PR-00002529,,"Mel's Angels Pty Ltd",,"10 Canterbury Close",ROWVILLE,VIC,3178,29/12/2011,
PR-00002530,,"Extend (Australia) Pty Ltd",,"Tower 3, Level 7, 18-38 Siddeley st",DOCKLANDS,VIC,3008,29/12/2011,
PR-00002535,,"Karen Marie Donders",,"113 Bailey Road","MT EVELYN",VIC,3796,29/12/2011,
PR-00002536,,"Azaria Family Day Care Pty Ltd",,"9/32 East Esplanade","ST ALBANS",VIC,3021,29/12/2011,
PR-00002539,,"Camp Australia Pty Limited",,"Level 1  207 Waverley Rd","MALVERN EAST",VIC,3145,14/05/2012,
PR-00002540,,"Phillippa Anne Preston and Victoria Louise Chapman Partners",,"68 Dandenong Hastings Road, 68 Dandenong Hastings Road",SOMERVILLE,VIC,3912,29/12/2011,
PR-00002541,,"Little Bee Enterprises Pty Ltd ATF The Alexander Moses Family Trust",,"PO Box 429",COBURG,VIC,3058,29/12/2011,
PR-00002542,,"Wildwood Park Holdings Pty Ltd",,"2-8 Windsor Dr",BEACONSFIELD,VIC,3807,29/12/2011,
PR-00002544,,"Carol Savage",,"c/- School Support Services, 59 Woolondoon Drive",HIGHTON,VIC,3216,29/12/2011,
PR-00002545,,"Anne Soding-Gay",,"PO Box 20","WOORI YALLOCK",VIC,3139,29/12/2011,
PR-00002547,,"YMCA Victoria",,"582 Heidelberg Road",FAIRFIELD,VIC,3078,29/12/2011,
PR-00002548,,"Clayamber PTY LTD as Trustee of the McManus Trust",,"27 Andrews Lane",NAPOLEONS,VIC,3352,29/12/2011,
PR-00002549,,"Clarke Childcare Group Pty Ltd ATF Clarke Childcare Group Unit Trust","Little Patch ELC","PO Box 2108","WATTLETREE ROAD POST OFFICE",VIC,3145,29/12/2011,
PR-00002553,,"Little Acorns Childcare Pty Ltd",,"231 Frankston - Flinders Road",FRANKSTON,VIC,3199,29/12/2011,
PR-00002554,,"Nabih Merhi and Elssy Mehri and Jennifer Sutherland",,"46 Robin Dr","CARRUM DOWNS",VIC,3201,29/12/2011,
PR-00002558,,"Cranbourne-Carlisle Primary School",,"Cranbourne Carlisle Primary SC, 15 Silky Oak Dr",CRANBOURNE,VIC,3977,29/12/2011,
PR-00002561,,"Nickis Clever Cookies Pty Ltd",,"10A RANGEVIEW RD","LOWER PLENTY",VIC,3093,29/12/2011,
PR-00002563,,"Grange Road Childcare Nominees Pty Ltd ATF Grange Road Childcare Trust trading as Smart Start Early Learning and Development Centre",,"18-24 Grange Road",ALPHINGTON,VIC,3078,29/12/2011,
PR-00002566,,"Quadunite P/L ATF The Russell Property Unit Trust",,"c/o Pooh Bear's House, 323 Maroondah Highway",CROYDON,VIC,3136,29/12/2011,
PR-00002569,,"ST MARY A.C.M PTY. LTD.",,"5-7 PECKS RD",SYDENHAM,VIC,3037,29/12/2011,
PR-00002570,,"Roslyn Primary School School Council",,"PO Box 292",BELMONT,VIC,3216,29/12/2011,
PR-00002572,,"Kids Paradise Long Street Pty Ltd",,"1 Long St",LANGWARRIN,VIC,3910,29/12/2011,
PR-00002573,,"Roads Corporation (Trading as Vic Roads)",,"60 Denmark Street",KEW,VIC,3101,29/12/2011,
PR-00002575,,"Judith Huang",,"34 Morton St",CLAYTON,VIC,3168,29/12/2011,
PR-00002576,,"Kharisma Kids Pty Ltd",,"16 Cerulean Dr",OFFICER,VIC,3809,29/12/2011,
PR-00002577,,"Casey City Church Inc",,"PO BOX 2213","FOUNTAIN GATE",VIC,3805,29/12/2011,
PR-00010405,,"ASPIRE EARLY EDUCATION & KINDERGARTEN CLYDEVALE, CLYDE NORTH PTY LTD","ASPIRE EARLY EDUCATION & KINDERGARTEN CLYDEVALE, CLYDE NORTH","627 CHAPEL ST","SOUTH YARRA",VIC,3141,13/02/2025,
PR-00010406,,"ASPIRE EARLY EDUCATION & KINDERGARTEN HUNTLY VILLAGE PTY LTD","ASPIRE EARLY EDUCATION & KINDERGARTEN HUNTLY VILLAGE","627 CHAPEL ST","SOUTH YARRA",VIC,3141,13/02/2025,
PR-00010407,,"WP EARLY LEARNING HILLGROVE PTY LTD","Wattle Planet Early Learning Rockbank","1 INNOVATION AV",ROCKBANK,VIC,3335,08/03/2025,
PR-00010419,,"ASPIRE EARLY EDUCATION & KINDERGARTEN LUCAS PTY LTD","ASPIRE EARLY EDUCATION & KINDERGARTEN LUCAS","627 CHAPEL ST","SOUTH YARRA",VIC,3141,13/02/2025,
PR-00010474,,"INFINIKID EARLY LEARNING PTY LTD",,"UNIT 4 146 BEVERLEY ST","DONCASTER EAST",VIC,3109,01/06/2025,
PR-00010488,,"BEYOND THE DREAM PTY LTD",,"61 PIERVIEW DR",CURLEWIS,VIC,3222,05/07/2025,
PR-00010496,,"KIDDIE COVE NAGAMBIE PTY LTD","Kiddie Cove Nagambie ELC","9 BLOOMFIELD DR","SOUTH MORANG",VIC,3752,08/04/2025,
PR-00010515,,"KIDZEY EARLY LEARNING PTY LTD","KIDZEY EARLY LEARNING","23 WHITSUNDAY DR","HOPPERS CROSSING",VIC,3029,10/04/2025,
PR-00010516,,"SUTLEJ PTY LTD",,"7 WOODLANDS CT",CRAIGIEBURN,VIC,3064,19/08/2025,"Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development in quality area 7 Governance 

The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development.  

The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-00010521,,"BLUE LEAF CHILDCARE PTY LTD","BLUE LEAF CHILDCARE","UNIT 1 23 ILLUKA CR","MOUNT WAVERLEY",VIC,3149,22/12/2025,"Prior to applying for service approval or transfer, the person with management or control of the approved provider must undertake professional development In Quality Area 7 Governance and Leadership and the Child Safe Standards  

The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 

The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-00010532,,"LL EPPING PTY LTD ATF LL EPPING Trust","Learning Ladder ELC Epping","176B WERE ST",BRIGHTON,VIC,3186,28/03/2025,
PR-00010562,,"PLAYFUL KIDS FAMILY DAY CARE PTY LTD ATF Kong Family Trust","PLAYFUL KIDS FAMILY DAY CARE","71 HARVEST CT",DONCASTER,VIC,3108,21/07/2025,
PR-00010587,,"Dr Care Pty Ltd ATF DR Care UNIT TRUST","Dr Care Pty Ltd","7 WINDREST WAY","POINT COOK",VIC,3030,20/08/2025,"•Prior to applying for service approval or transfer, the person with management or control of the approved provider, Jaspreet Kaur Grewal must undertake professional development in Quality Area 7 (Governance and Leadership).  
•The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development.  
•The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-00010632,,"ARCHIES EARLY LEARNING PTY LTD","ARCHIES EARLY LEARNING","40 WOODLEA BVD",AINTREE,VIC,3336,21/07/2025,"Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development on the Child Safe Standards. 

The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 

The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-00010641,,"AC EARLY EDUCATION PTY LTD","AC EARLY EDUCATION PTY LTD","3 TURNER ST","MALVERN EAST",VIC,3145,10/08/2025,"Under section 19(1) of the National Law, I have made a decision to impose the following conditions on the provider approval:
•	Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development on the Child Safe Standards. 
•	Prior to applying for service approval or transfer, the person with management or control of the approved provider, Amelia Conley must undertake professional development in Quality Area 7 (Governance and Leadership).  
•	The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 
•	The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-00010644,,"EXPANDING POTENTIAL PTY LTD","EXPANDING POTENTIAL PTY LTD","4 WIMMERA CR",WOLLERT,VIC,3750,04/09/2025,"•	Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development on the Child Safe Standards. 
•	Prior to applying for service approval or transfer, the person with management or control of the approved provider, must undertake professional development in Quality Area 7 (Governance and Leadership). 
•	The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development. 
•	The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-40006652,,"Sunnyside Early Learning Centre Pty Ltd ATF Montessori Unit Trust","Wyndham Vale Montessori Centre","PO Box 4217","BURWOOD EAST",VIC,3151,30/05/2016,
PR-40006676,,"Maddingley Montessori Centre Pty Ltd as trustee for Maddingley Montessori Centre Unit Trust","Maddingley Montessori Centre","1/1 Hoylake Gr",MORNINGTON,VIC,3931,27/04/2016,
PR-40006750,,"Ayline Oshana","Chosen Family Daycare Service","8 Nottingham Cl",CRAIGIEBURN,VIC,3064,04/04/2016,
PR-40006760,,"Timothy James Walsh","All Star KIds","U 4  7 Waverley Ave",IVANHOE,VIC,3079,20/04/2016,
PR-40006778,,"BALL SLOAN ENTERPRISES PTY. LTD.","Bright Minds Early Learning Centre","U 502  10 Martin St","ST KILDA",VIC,3182,15/03/2016,
PR-40006793,,"DJ & AC Prentice","Free Spirit Childcare","29 Henty St",DUNKELD,VIC,3294,22/06/2016,
PR-40006799,,"TREKKAZ PTY. LTD.","Trekkaz Child care","138 Violet St",BENDIGO,VIC,3550,19/09/2016,
PR-40006805,,"EARLIEST PTY LTD",Earliest,"U 12  33 Murphy St","SOUTH YARRA",VIC,3141,23/03/2016,
PR-40006942,,"Niki Tsakalidis","Heroes and Champs Early Learning Centre","4 Athalie Rise",DOREEN,VIC,3754,27/04/2016,
PR-40006995,,"CHILDBIZ OPERATIONS PTY LTD","Nino Early Learning Adventures","PO Box 5145",BURNLEY,VIC,3121,19/10/2016,
PR-40007073,,"GRACEFUL COMMUNITY SERVICES INC.",,"20 Childs Rd",EPPING,VIC,3076,18/05/2016,
PR-40007165,,"IOANA LELEI",,"21 Edmund Dr",TARNEIT,VIC,3029,30/05/2016,
PR-40007227,,"MAYFIELD CHILDCARE LIMITED","Mayfield Early Education","LEVEL 3 108 POWER ST",HAWTHORN,VIC,3122,07/07/2016,
PR-40007277,,"ST MONICAS SCHOOL","ST MONICA'S SCHOOL","2 Wingfield St",FOOTSCRAY,VIC,3011,15/06/2016,
PR-40007278,,"GUMBOOTS EARLY LEARNING CENTRE PTY LTD","Gumboots Early Learning Pty Ltd","730 Elizabeth Dr",SUNBURY,VIC,3429,04/07/2016,
PR-40007372,,"ST PETERS SCHOOL CLAYTON","St. Peter's School","The Principal, St. Peter's School, 16 Mary Street",CLAYTON,VIC,3168,12/05/2016,
PR-40007386,,"CRESCENT FAMILY DAY CARE PTY. LTD.","Crescent Family Day care","U 64  12 Sutton St","NORTH MELBOURNE",VIC,3051,30/05/2016,
PR-40007425,,"Little Patch ELC St Kilda East Pty Ltd ATF Little Patch ELC St Kilda East Trust","Little Patch ELC","PO Box 2108","WATTLETREE ROAD PO",VIC,3145,27/04/2016,
PR-40007510,,"EVANS PARK EARLY LEARNING CENTRE & KINDERGARTEN PTY LTD ATF Evans Park Trust","Evans Park Early Learning Centre and Kindergarten","21-22 Lansell Cl","NARRE WARREN SOUTH",VIC,3805,04/07/2016,
PR-40007549,,"Incursions Pty Ltd","Supreme Incursions","PO Box 56",FLEMINGTON,VIC,3031,29/08/2016,
PR-40007573,,"KRISTIE SALE","Little Groms Early Learning","219 Fischer St",TORQUAY,VIC,3228,15/06/2016,
PR-40007601,,"VICTORIA EARLY LEARNING CENTRE PTY. LTD.","VICTORIAN EARLY LEARNING CENTRE","PO Box 8165",TARNEIT,VIC,3029,16/07/2016,
PR-40007639,,"Discovery X Pty Ltd","Discovery Childcare and Education","12 NORTHUMBERLAND ST","SOUTH MELBOURNE",VIC,3205,15/06/2016,
PR-40007659,,"HOSNEYAH QASEMI",,"U 4  3 Hemmings St",DANDENONG,VIC,3175,12/09/2016,
PR-40007685,,"Black Rock Pre School Centre Inc.","Black Rock Pre School Centre Inc.","55 Bluff Rd","BLACK ROCK",VIC,3193,04/07/2016,
PR-40007695,,"The Trustee for THE BURNRADE INVESTMENT TRUST","Grandma's House Nursery & Kindergarten","66 Camera Walk","COBURG NORTH",VIC,3058,02/06/2016,
PR-00001298,,"Active Educare Pty Ltd",,"2 Renshaw Street","DONCASTER EAST",VIC,3109,29/12/2011,
PR-00001299,,"Acacia Avenue Preschool Association Inc",,"35 Acacia Avenue",MENTONE,VIC,3194,29/12/2011,
PR-00001300,,"Acacia Indo-chinese Community Support Association Inc",,"13 Belgium Avenue",RICHMOND,VIC,3121,29/12/2011,
PR-00001301,,"Adass Israel School Inc",,"10 - 12 King Street",ELSTERNWICK,VIC,3185,29/12/2011,
PR-00001303,,"Airport West Child Care Centre Co-operative Ltd",,"4 Clydesdale Road","AIRPORT WEST",VIC,3042,29/12/2011,
PR-00001304,,"Alexandra and District Kindergarten Inc",,"ALEXANDRA KINDERGARTEN, 15 BAYLEY ST",ALEXANDRA,VIC,3714,29/12/2011,
PR-00001305,,"Alfred Nuttall Memorial Kindergarten Inc",,"34 Separation Street",FAIRFIELD,VIC,3078,29/12/2011,
PR-00001306,,"Coragulac & District Kindergarten Inc",,"C/- Post Office",COROROOKE,VIC,3254,29/12/2011,
PR-00001307,,"Children's Protection Society Inc","Kids First Australia","68-70 Altona Street","HEIDELBERG WEST",VIC,3081,29/12/2011,
PR-00001309,,"ANANDA MARGA PRACARAKA SAMGHA LTD",,"199 Clauscen St","FITZROY NORTH",VIC,3068,29/12/2011,
PR-00001311,,"Anglesea Kindergarten Inc",,"PO Box 83",ANGLESEA,VIC,3230,29/12/2011,
PR-00001313,,"Annie Dennis Children's Centre Inc.",,"2-6 Oldis Avenue",NORTHCOTE,VIC,3070,29/12/2011,
PR-00001314,,"Antonine Sisters Victoria Property Association Inc",,"11-13, Barrow Street",COBURG,VIC,3058,29/12/2011,
PR-00001315,,"Apex Preschool Centre Inc",,"7 Howarth Street",ELLIMINYT,VIC,3250,29/12/2011,
PR-00001316,,"Apollo Parkways Preschool Inc",,"31 Plenty River Drive",GREENSBOROUGH,VIC,3088,29/12/2011,
PR-00001318,,"Appletree Preschool Assoc Inc",,"Appletree Hill Pre School, 37 Shepherd Rd","GLEN WAVERLEY",VIC,3150,29/12/2011,
PR-00001319,,"Apollo Bay Preschool Inc",,"69 McLachlan St","APOLLO BAY",VIC,3233,29/12/2011,
PR-00001320,,"ARMADALE EARLY LEARNING CENTRE INC",,"3 Fulton Street",ARMADALE,VIC,3143,29/12/2011,
PR-00001321,,"Ascot Kindergarten Inc",,"1 West Street","ASCOT VALE",VIC,3032,29/12/2011,
PR-00001322,,"Ascot Vale Progress Kindergarten Association Inc",,"11 Brown Avenue","ASCOT VALE",VIC,3032,29/12/2011,
PR-00001323,,"Ashwood Preschool Association Inc",,"17a Arthur Street",ASHWOOD,VIC,3147,29/12/2011,
PR-00001324,,"Aspendale Gardens Community Service Incorporated",,"103-105 Kearney Drive","ASPENDALE GARDENS",VIC,3195,29/12/2011,
PR-00001325,,"Attwood Child Care Centre and Kindergarten Assoc Inc",,"475 Mickleham road",ATTWOOD,VIC,3049,29/12/2011,
PR-00001326,,"Auburn Kindergarten & Child Care Centre Inc",,"27 Station Street","HAWTHORN EAST",VIC,3123,29/12/2011,
PR-00001327,,"Auburn South Preschool Inc",,"5 Anderson Road","HAWTHORN EAST",VIC,3123,29/12/2011,
PR-00001328,,"Austin Health",,"145 STUDLEY RD",HEIDELBERG,VIC,3084,29/12/2011,
PR-00001329,,"Australian Greek Welfare Society",,"7 Union Street",BRUNSWICK,VIC,3056,29/12/2011,
PR-00001332,,"Bairnsdale Kindergarten Inc",,"PO Box 346",BAIRNSDALE,VIC,3875,29/12/2011,
PR-00001333,,"Balcombe Preschool Association Inc",,"144 Bay Rd","MOUNT MARTHA",VIC,3934,29/12/2011,
PR-00001334,,"Ballam Park Preschool Association Inc",,"PO Box 4078",LANGWARRIN,VIC,3910,29/12/2011,
PR-00001335,,"Ballarat & Clarendon College",,"1425 Sturt Street",BALLARAT,VIC,3350,29/12/2011,
PR-00001336,,"Ballarat City Council",,"PO BOX 655",BALLARAT,VIC,3353,29/12/2011,
PR-00001337,,"Balnarring Preschool & Infant Welfare Assoc Inc",,"PO Box 113",BALNARRING,VIC,3926,29/12/2011,
PR-00001339,,"Balwyn East Kindergarten Inc",,"Cnr Belmore Rd & Caravan St",BALWYN,VIC,3103,29/12/2011,
PR-00001340,,"Bambini Operations Pty Ltd",,"13 - 15 Asling Street",BRIGHTON,VIC,3186,29/12/2011,
PR-00001341,,"Banchie Pty Ltd",,"5 Stringer Court",SUNBURY,VIC,3429,29/12/2011,
PR-00001342,,"Banyule City Council",,"PO Box 94",GREENSBOROUGH,VIC,3088,29/12/2011,
PR-00001343,,"The Baptist Union of Victoria",,"277-281 Elgar Road","SURREY HILLS",VIC,3127,29/12/2011,
PR-00001345,,"Barriburn Preschool Association Inc",,"337 Morack Road","VERMONT SOUTH",VIC,3133,29/12/2011,
PR-00001346,,"Barry Road Preschool Inc",,"PO Box 304",THOMASTOWN,VIC,3074,29/12/2011,
PR-00001348,,"Batman Park Kindergarten Association Inc",,"79 ELM ST",NORTHCOTE,VIC,3070,29/12/2011,
PR-00001349,,"Baxter Preschool Inc",,"PO Box 6",BAXTER,VIC,3911,29/12/2011,
PR-00001353,,"Beaconsfield Kindergarten Inc",,"PO Box 329",BEACONSFIELD,VIC,3807,29/12/2011,
PR-00001354,,"Beleura Hill Preschool Association Inc",,"32 Amelia Ave",MORNINGTON,VIC,3931,29/12/2011,
PR-00001355,,"Bellevue Kindergarten Association Inc",,"68 Ursa St","BALWYN NORTH",VIC,3104,29/12/2011,
PR-00001356,,"Belvedere Park Preschool Association Inc",,"PO BOX 152",SEAFORD,VIC,3198,29/12/2011,
PR-00001357,,"Benalla Primary School Council",,"127-139 Waller Street",BENALLA,VIC,3672,29/12/2011,
PR-00001358,,"Bendigo Community Health Services Limited",,"Po Box 1121",BENDIGO,VIC,3552,29/12/2011,
PR-00001359,,"Bendigo Preschool Inc",,"90 Myrtle Street",BENDIGO,VIC,3550,29/12/2011,
PR-00001360,,"Bentleigh Family & Child Care Co-op",,"134 Brewer Road",BENTLEIGH,VIC,3204,29/12/2011,
PR-00001361,,"Bentleigh West Kindergarten Inc",,"PO Box 4018",PATTERSON,VIC,3204,29/12/2011,
PR-00001362,,"Benwerrin Preschool Association Inc",,"Benwerrin Kindergarten, 120-122 Burwood Hwy","BURWOOD EAST",VIC,3151,29/12/2011,
PR-00001364,,"Birregurra Pre-School Centre Inc",,"95 Main Street",BIRREGURRA,VIC,3242,29/12/2011,
PR-00001365,,"Birralee Preschool Association Inc",,"21 Weeden Drive","VERMONT SOUTH",VIC,3133,29/12/2011,
PR-00001366,,"Bittern Preschool Association Inc",,"PO Box 34",BITTERN,VIC,3918,29/12/2011,
PR-00001367,,"Newhope Baptist Pre-School Inc",,"PO Box 255",KERRIMUIR,VIC,3129,29/12/2011,
PR-00001368,,"Blackburn Pre-School Centre Inc.",,"40 Blackburn Road",BLACKBURN,VIC,3130,29/12/2011,
PR-00001369,,"Blacks Camp Preschool Centre Inc",,"21 Worwong Ave",SOMERVILLE,VIC,3912,29/12/2011,
PR-00001370,,"Blossom Park Kindergarten Inc",,"59 Azalea Avenue","MILL PARK",VIC,3082,29/12/2011,
PR-00001372,,"Boroondara Kindergarten Inc",,"12 Cooke Court","RICHMOND NORTH",VIC,3121,29/12/2011,
PR-00001373,,"Boroondara Preschool Inc",,"24 Midvale Ave","BALWYN NORTH",VIC,3104,29/12/2011,
PR-00001374,,"Botany Park Preschool Committee Inc",,"53 Lyrebird Drive","CARRUM DOWNS",VIC,3201,29/12/2011,
PR-00001376,,"Woodhouse Grove Kindergarten Assoc Inc",,"112 Woodhouse Grove","BOX HILL NORTH",VIC,3129,29/12/2011,
PR-00001377,,"Box Hill South Preschool Inc",,"Rotary Court","BOX HILL SOUTH",VIC,3128,29/12/2011,
PR-00001380,,"Brenbeal Children's Centre Inc",,"8 Rayner Street",FOOTSCRAY,VIC,3011,29/12/2011,
PR-00001381,,"Brentwood Kindergarten Inc",,"307 OHEA ST","PASCOE VALE SOUTH",VIC,3044,29/12/2011,
PR-00001382,,"Brentwood Park Kindergarten Inc",,"PO Box 147",CROYDON,VIC,3136,29/12/2011,
PR-00001383,,"Brentwood Preschool Association Inc",,"60 Viewmount Road","GLEN WAVERLEY",VIC,3150,29/12/2011,
PR-00001384,,"Briar Hill Preschool Association Inc",,"118 KARINGAL DR",GREENSBOROUGH,VIC,3088,29/12/2011,
PR-00001385,,"Brighton Grammar School",,"90 Outer Crescent",BRIGHTON,VIC,3186,29/12/2011,
PR-00001386,,"Brighton Recreational Centre Ltd",,"93 Outer Crescent",BRIGHTON,VIC,3186,29/12/2011,
PR-00001387,,"Brimbank City Council",,"PO Box 70",SUNSHINE,VIC,3020,29/12/2011,
PR-00001393,,"Brunswick Creche & Day Nursery Inc",,"82 Glenlyon Road",BRUNSWICK,VIC,3056,12/04/2012,
PR-00001394,,"Northwest Maria Montessori Preschool Inc",,"PO Box 401",ESSENDON,VIC,3040,29/12/2011,
PR-00001396,,"Bulleen Preschool Inc",,"5 Derreck Avenue",BULLEEN,VIC,3105,29/12/2011,
PR-00001398,,"Bundoora Preschool Assoc Inc",,"Bundoora Pre School, 20 Noorong Ave",BUNDOORA,VIC,3083,29/12/2011,
PR-00001400,,"Alfred Road Kindergarten Inc",,"48a Alfred Road","GLEN IRIS",VIC,3146,29/12/2011,
PR-00001401,,"Caledonian Primary School",,"PO Box 1172","BALLARAT MC",VIC,3354,29/12/2011,
PR-00001402,,"Camberwell Baptist Church Kindergarten Inc",,"1A WILLS ST","HAWTHORN EAST",VIC,3123,29/12/2011,
PR-00001403,,"Camberwell Grammar School",,"PO Box 151",BALWYN,VIC,3103,29/12/2011,
PR-00001404,,"Campaspe Shire Council",,"PO Box 35",ECHUCA,VIC,3564,29/12/2011,
PR-00001405,,"Camperdown Preschool Association Inc",,"PO Box 146",CAMPERDOWN,VIC,3260,29/12/2011,
PR-00001406,,"Canterbury & District Preschool Inc",,"26 Guildford Road","SURREY HILLS",VIC,3127,29/12/2011,
PR-00001407,,"Cara Armstrong Kindergarten Inc",,"169 RATHMINES RD","HAWTHORN EAST",VIC,3123,29/12/2011,
PR-00001409,,"Carey Baptist Grammar School Ltd",,"349 Barkers Road",KEW,VIC,3101,29/12/2011,
PR-00001410,,"Taraleigh Steiner Kindergarten and Playgroup Incorporated","Taraleigh Steiner Kindergarten and Playgroup","90 BIGNELL RD","BENTLEIGH EAST",VIC,3165,29/12/2011,
PR-00001412,,"Casey City Council",,"PO Box 1000","NARRE WARREN",VIC,3805,29/12/2011,
PR-00001413,,"Castlemaine Child Care Co-op Ltd",,"15-17 Templeton Street",CASTLEMAINE,VIC,3450,29/12/2011,
PR-00001414,,"Catjump Preschool Inc",,"88 Polaris Drive","DONCASTER EAST",VIC,3109,29/12/2011,
PR-00001416,,"Centenary Drive Kindergarten Inc",,"68 Centenary Drive","MILL PARK",VIC,3082,29/12/2011,
PR-40021722,,"JOYFUL LEARNING EARLY LEARNING CENTRE PTY LTD","JOYFUL LEARNING EARLY LEARNING CENTRE PTY LTD","8 Rob Roy St","GLEN WAVERLEY",VIC,3150,04/03/2020,
PR-40021729,,"PINKY FAIRY FAMILY DAY CARE PTY LTD",,"Suite 22, Level 1, 797 Plenty Road","SOUTH MORANG",VIC,3752,13/01/2021,
PR-40021761,,"JUBELLE'S PTY LTD ATF Jubelle's Unit Trust","Holy Trinity Early Learning Centre","119 Fulton Rd","BLACKBURN STH",VIC,3130,22/01/2020,
PR-40021779,,"XIAO QIAN WISDOM EDUCATION PTY LTD.","XIAO QIAN WISDOM EDUCATION PTY LTD.","9/14-26 Audsley St","CLAYTON SOUTH",VIC,3169,25/11/2020,"Prior to applying for service approval or service approval transfer, the persons with management or control of the approved provider, Ms Ying Chen and Ms Chun Lau, must undertake professional development in Quality Area 7 – Governance and leadership.
Each professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development.
The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-40021816,,"NURTURE NOOK EARLY LEARNING PTY LTD","Nurture Nook Early Learning PTY LTD","11 Shebler Pl",MELTON,VIC,3337,23/03/2020,
PR-40021828,,"Happy Sunshine Early Learning Centre Pty Ltd","Happy Sunshine Early Learning Centre","452 McClelland Dr",LANGWARRIN,VIC,3910,03/12/2019,
PR-40021915,,"Anne Sgro Childrens Centre Association Incorporated",,"45-47 May St",COBURG,VIC,3058,08/06/2020,
PR-40022064,,"MOUNT HIRA COLLEGE","Mt Hira College","185 Perry Rd",KEYSBOROUGH,VIC,3173,02/04/2020,
PR-40022085,,"Yasmeen Barghouthi ATF River Family Trust",,"2/30 Winmalee Dr","GLEN WAVERLEY",VIC,3150,06/03/2020,
PR-40022102,,"Marc Dusengimana","Learn N' Thrive Family day care","1 Watercarter Cres",WOLLERT,VIC,3750,03/03/2021,
PR-40022199,,"Hortis and Associates Pty Ltd","HORTIS & ASSOCIATES","U 3  5 Briggs St","MOUNT WAVERLEY",VIC,3149,14/05/2020,
PR-40022223,,"HELC PTY LTD","Heywood Early learning Centre","39 Hunter St",HEYWOOD,VIC,3304,20/01/2020,
PR-40022384,,"EARLY NEST PTY LTD",,"12 Frogmouth Ct","WILLIAMS LANDING",VIC,3027,27/05/2020,"Warda Nur must undertake professional development in Quality Area 7 - Leadership and Governance of the National Quality Standard and Child Safe Standards Training prior to applying for service approval or transfer.

• The professional development must be delivered by a recognised early childhood organisation or expert and approved in writing by the Department prior to undertaking the professional development.
• The Department must be provided with proof of completion of the professional development within 7 days of completion."
PR-40022419,,"My Playce Pty Ltd","My Playce","17 Millewa Ave","MALVERN EAST",VIC,3145,10/12/2020,
PR-40029108,,"EARLY EDUCATION JOURNEY PTY LTD","OAKLEIGH EARLY LEARNING JOURNEY","U 1  86 Ferntree Gully Rd","OAKLEIGH EAST",VIC,3166,23/05/2022,
PR-40029137,,"A&H AGE CARE & MENTAL HEALTH CARERS PTY LTD","First Steps Early Learning Journey","7 Boronia Grove","DONCASTER EAST",VIC,3109,10/11/2022,
PR-40029152,,"ANGELS EARLY LEARNING PTY LTD","ANGELS EARLY LEARNING PTY LTD","5 GAMBINO CR",TRUGANINA,VIC,3029,15/05/2022,
PR-40029196,,"Meraki Childcare 1 Pty Ltd","Meraki Childcare Bayswater","18 County Tce","CROYDON HILLS",VIC,3136,06/07/2022,
